Time resolution is 1 ps
PC: xxxxxxxx, IF/ID.Instr: xxxxxxxx, ID/EX.Instr: xxxxxxxx
PC: 00000058, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 0000005c, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000060, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000064, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000068, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 0000006c, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000070, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000074, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000078, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 0000007c, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000080, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000084, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000088, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 0000008c, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000090, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000094, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000098, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 0000009c, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000a0, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000a4, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000a8, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000ac, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000b0, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000b4, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000b8, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000bc, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000c0, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000c4, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000c8, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000cc, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000d0, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000d4, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000d8, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000dc, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000e0, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000e4, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000e8, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000ec, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000f0, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000f4, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000f8, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 000000fc, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000100, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000104, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
PC: 00000108, IF/ID.Instr: 00000000, ID/EX.Instr: xxxxxxxx
P
